id,user_id,date,grade,rice_add,wheat_add,oil_add,pulse_add,rice_open,wheat_open,oil_open,pulse_open,created_at
015d1c11-9ce6-4cf9-b966-6ab95ccb5f80,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-27,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:37.504113+00
136ca80a-e197-4a9a-a6f5-ece46f55fea0,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-18,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:33.611922+00
1409f1fc-4c36-430a-9c82-a6df96bec152,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-15,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:32.172199+00
1850800d-12e6-4321-99d0-6ded04802fc9,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-09,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:29.725177+00
19a3b1f7-7152-406c-8871-7494d6d4fa01,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-17,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:33.208246+00
1b739e81-d64c-44e6-a607-c794b4703b4a,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-06,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:28.603709+00
2017e287-66a5-42df-a00e-e400b32f606e,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-26,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:37.095538+00
2903a528-a56c-490b-89fc-6058b6d28dd0,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-25,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:36.690418+00
290b8edd-78a4-417d-8cbb-315dbc3cd503,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-28,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:37.716318+00
45f1be3b-3a3c-4565-b3e7-8cb9edd6c217,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-16,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:32.591327+00
4639e0ed-e938-4212-8b4e-6fae25981965,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-10,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:30.132623+00
4745715a-51c5-4426-a5ce-ee36250540b9,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-28,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:38.019563+00
4ba23da7-2f04-477b-bab8-ed0b1d287eba,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-01,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:25.74801+00
510309f3-3272-402d-b695-0118ea877a98,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-22,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:35.152717+00
51b4309f-5ec0-4dd6-b676-18da5f9e075d,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-04,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:27.639522+00
58d23047-15b3-4460-910e-2b1799753c29,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-07,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:29.107083+00
5e646eea-a119-44ff-ad1d-d9459e41f01e,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-05,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:28.189014+00
6112d5d0-9f0d-403f-99e8-cb5563976109,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-25,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:36.478564+00
61d50415-4502-4686-baa9-5de1fd724da0,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-01-01,1-5,100,50,20,30,10,5,2,3,2026-01-29 15:33:13.91186+00
65bfeda8-ba73-436e-9108-a0721fae966c,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-10,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:30.335167+00
66de41aa-71fa-46be-be35-0243c15952ea,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-26,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:36.867431+00
6ae97cd0-be48-4297-bfc0-14af8ecb56b9,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-24,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:36.279778+00
6c785028-0fea-4a40-ac82-0dc20be13c94,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-23,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:35.56261+00
6d11d63f-d70c-4733-b2de-460f9edbc0be,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-07,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:28.906578+00
6d34b35d-b6b8-4ceb-9113-e606e7a36d21,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-16,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:32.797724+00
6e93299c-17da-4d4f-a764-4322d4f250b2,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-04,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:27.370791+00
7028cfb1-ec0b-45e9-889f-44383ee4b163,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-01-01,6-10,80,40,15,25,8,4,1,2,2026-01-29 15:33:14.428634+00
7d2d1f2c-8ea9-4f31-9d9d-4f9b27179f31,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-27,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:37.275426+00
8600e439-b907-4b60-bec6-43646dec52c1,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-15,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:32.36714+00
903b12e1-0be8-4c71-8fd0-6fc372dd1b8b,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-14,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:31.775037+00
9132faac-903e-45a7-a34b-2608fdac51ae,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-21,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:34.658165+00
976ebc8b-1965-4d07-aa8a-8739b10e5edb,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-20,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:34.207616+00
9944a091-5ca7-46d8-9dda-9e167678b7ad,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-05,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:27.887643+00
9caf6f0d-3916-4ea3-8ebc-b98c41b3242c,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-17,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:32.998332+00
9e68f23b-0ec7-4008-b423-5ff3c186d091,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-01,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:25.418494+00
a03f3dfd-90c8-4196-8d74-f7b571a0e5ad,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-08,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:29.311866+00
a7edbcbc-3387-4903-9974-5d9b69d6a4e4,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-03,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:26.772938+00
b0e90138-6d17-4aa6-b8d4-bfb6057cf250,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-19,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:34.030608+00
b1e7b2d0-249a-42b0-94ed-9250047fa578,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-11,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:30.541288+00
b2fc9146-b455-4054-8b3e-a8c5c2697f15,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-06,1-5,22,22,22,22.002,0,0,0,0,2026-02-09 17:12:28.395193+00
b5215324-7bbb-4ce4-88b1-3dfdfab59db9,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-18,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:33.409594+00
b5594d1f-6de7-4ac4-8355-7b4f5a18426c,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-13,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:31.33984+00
bab4c157-77d7-4f1a-a519-b8ace9e07efd,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-21,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:34.948108+00
c1f91339-ef97-4d71-bb79-e2f8e4365786,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-20,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:34.436093+00
c23906bc-7cf1-46dd-a08d-3b57761782dd,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-13,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:31.565843+00
c274ce52-9a55-4922-b0c0-8f79af2aa3d9,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-23,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:35.766419+00
cf7c8e03-0bea-460a-a880-28817540d04d,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-14,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:31.979783+00
d2d3d5b2-6e6e-4a99-8435-a2b3cc830d45,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-11,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:30.748218+00
d4ea6f2e-c9a8-45db-a415-4fa1234ee7ef,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-08,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:29.523186+00
d5234dc4-92c1-4e7b-9904-dcf30f0ddbcc,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-19,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:33.817126+00
d6de3527-b435-4d4b-84fb-13546d38d2cb,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-24,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:35.989679+00
d8792f18-4984-426a-8cd0-6588d3b03dbf,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-02,6-10,11,11,11,11,0,0,0,0,2026-02-09 17:12:26.461146+00
d8af03ec-4bb5-444b-a429-e929a9efcc69,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-12,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:30.953691+00
d976cd7e-430b-46aa-8e68-033926942cd2,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-22,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:35.354885+00
dec067d0-c2ea-4dc9-a537-e62b0af10df2,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-09,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:29.929429+00
f0a34efa-d487-4352-b478-913a4d87a08a,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-02,1-5,10.999,121,11,11,0,0,0,0,2026-02-09 17:12:26.049329+00
f4674310-5e8d-4254-a123-5e0fa520de3e,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-03,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:27.07651+00
faa8059b-5738-4934-a73b-7776b003297a,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-12,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:31.157161+00